text,BIO_anno,class
活动说明不是写的50-1000元么？你怎么还抽到25的。。。太坑人了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
我也全是25，还不错吧,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
招行还是支付宝最稳，动物都没他靠谱，天书太牛逼了,B-BANK I-BANK O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
招商银行就这尿性先忽悠金葵花然后再继续忽悠把别的行资产转移到招商，，阶梯式忽悠,B-BANK I-BANK I-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
去年弄到了私行卡，现在愁管理费，每月4K,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O O O O O O O O,0
今天招商又给我打电话了，说还是分48期，我没有同意，我说六十期，前面两年一个月少还点，后面多还点，招...,O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
48期可以了，我18个想分36期招商都不同意,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O,0
48期应该可以了，我的招商本金6万逾期2期了还没有协商成功,O O O O O O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,0
我的也是逾期本金6个，逾期了快2年，现在连本带息9.3个，也是一分不减免，同意分54期，如果能先还2个，可以减免3、5K，或者一年内还清可以减免3、5K，太TM难协商了...,O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O,0
我现在招商信用卡逾期七万多，一年多了，都半年没接电话了，不知道接下来怎么样,O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
支付宝线下扫码付款太不稳定了，今天又扫不成了,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,0
招商官方说有，7011。客服瞎说还是有新的规则还没官方公布却实行了？搞不懂。招商积分是最烦的，还有海量的天书商户，佛系了,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,0
要变天了么？搞的好心累啊,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
哪里变了，为啥天天变，好心烦啊,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
出数字不管临时和固定都稳的很,O O O O O O O O O O O O O O,1
"7-15,天，我都民生钻石卡还没拿到{:2_183:}，平安最快，顶多三天。",O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,1
我去年11月份申请的，现在还没有提过，恶心不,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
招商银行的朝朝盈还是不错的,B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1
只用招商的储蓄卡，信用卡太垃圾，早消了。,O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,0
办下来都是菜卡，卡多不好养！请问中信刷卡姿势？谢谢,O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
黑屋了??当然提不了，伤心啊,O O O O O O O O O O O O O O,0
可以提，行数不多负债不高招商提额很稳,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,1
手持经典白，印象中权益除了用了两次300+，2-3次银行休息室。其他也真没怎么充分使用，上周江浙飞机晚点取消的多，我也赶上了，晚点8个小时。报了延误险，一周多一点时间，赔付到账。高兴高兴,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ,1
你面签审核好快。我的还没审核呢，资料处理中,O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,1
现在有了，晚上7点多出来了……效率还比较高,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1
8k能干嘛，额度低的可怜,O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
跟你一样的时间提的一样的固定，只是我的临时只能到36000，感觉不稳,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
你转个一块钱试试，一块钱都转不出，那就是拉黑了。,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
拉黑了怎么办？？一毛都转不出啊,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O,0
甭管啥原因，就那几种原因，银行也不会太罗嗦，把钱给你，卡注销后期估计就拉黑名单，缓冲一段时间。,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ O O O O O O O O O O,0
诈骗被封卡了，可以去柜台取钱后销卡，终生不能用招商。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O,0
只要不逾期，账号多少没有任何影响，只是对于强迫症来说，一个人不喜欢申请太多卡，否则手机下面的应用太多，用招商银行交账号不好。按照这个逻辑，钱，,O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-BANK I-BANK I-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,0
不懂别瞎说，这个只需要云闪付付款就可以抵扣了，元旦的时候我兑换了云闪付红包在华润苏果超市买了个炒锅,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,1
老哥，我的也是喔，推荐10k不敢送人头。征信又黑又烂,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O B-COMMENTS_ADJ,0
已经成功，额度10万,O O O O O B-COMMENTS_N I-COMMENTS_N O O O,1
10行卡已经不少了，你有没有发现，卡多了提额难？,O O O B-PRODUCT O O O O O O O O O O O O O B-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O,0
最低的话，每个月利息不低啊。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
楼主几张卡先还最低过几个月可能别的行就提额了或者撸点中信新快现浦发备用金这样的现金分期堵工行的坑,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT B-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK O B-COMMENTS_ADJ,0
我比你狠，你是因为征信降一半，我是因为套现被一刀撸了,O O O B-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O O O O O O O O O O O O O O,0
老哥说的有道理，我考虑到了这个问题了，可是一次性25000好难拿出来,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
老哥，这个道理我都懂，就是难啊，家家有本难念的经。不知道还3个月最低能不能了，三个月能还上25000。,O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,0
试试，如果在降低就没办法了，恶性循环,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
妈的，我也害怕，最近缺钱，我的工行不知道要怎么对我,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-BANK I-BANK O O O O O O O O,0
降额了，大妈常规操作。慌没用,B-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_ADJ O O,0
吓死我了，赶紧全部分期了，分了9期，就算降了也不至于缓不过来,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O,0
反正我是糟了，我就是负债高，查询也不多，没有小贷。,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O O O,0
我哭了，居然要这么久，其他商业银行都是半年久开始了，第一次搞四大行竟然这么慢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
头铁继续申千秋，下了20k，额度还是不错的,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
我工行欠八万，六年了，现在让还二十一万多，由于是正式工，把我薪金卡锁了，怎么办？有类似的情况吗？,O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,0
我工资卡也被锁了，好烦躁,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
招商银行信用卡动不动就打电话分期，真烦,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
非常方便，没必要，就算改了发卡，线分还是II卡，可以激活手机。,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT O O O O O O O B-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O,1
建行没戏了已经。走线上渺茫,B-BANK I-BANK O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
建行第二个，工商第三个。你已经十行了，小贱有些难了，销3-5行再试试吧。,B-BANK I-BANK O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
建行很看行数越早下越好建行提额感觉也挺慢,B-BANK I-BANK O O O O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
你有十行卡。建行卡基本没救了。,O O O O B-PRODUCT O B-BANK I-BANK B-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0
工商的盾确实是太贵，还不如邮局20块,B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,0
广东能给你都不错了，0755基本不给:L,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,1
浦发银行浦惠久久利率还是不错的哦,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
农行炫萌萌白金信用卡你值得拥有,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O,1
华夏不行，肉测过……,B-BANK I-BANK O O O O O O O O,0
招商证实不行，,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
19年5月下的2w的大白金，现在还是特么的2w。各位彦祖给想想办法。,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O,0
上一张已经用了一年多了。。。一毛不提，太恶心了,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
没有语言去表达。。悲哀,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
没有啊，就是周六收到其他地方手机号打来说叫我还钱，不还就起诉了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
额??这??和没协商没差别??我打算试试信访??管用的话告诉你，好心累啊,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
才几千块成黑户不值得，但几千是不会起诉你的。你一点点还上就可以了，就算他们不停催收，你也不用管。把坑填上就行。但千万不要以贷养贷，到最后几千变几万。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O,0
不会养?需要卖卡重申，额度也不错的,O O O O O O O B-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
提额坐火箭你就不觉得坑了,B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ O,0
太坑了麻蛋一次性扣了我750多取消不了日,O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,0
菜卡多！,B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O,0
我靠，工行代发工资，一般融e借额度都还很可以，借出再调平xyk你融借多少额度,O O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,0
关键是现在没实体卡啊一张无界一张clear即便借出来调平无界…刷不了pos啊，好心累啊‘,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
贷款还清，永不再用小贷,B-PRODUCT I-PRODUCT O O O O O O O O O,0
乌鲁木齐的吗？我也是啊，额度还是很满意的,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
都有，放心吧，招行服务还是很好的,O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
上7级需要五亿。放弃吧,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
工行没什么权益和羊毛，只有境外返现好像……下卡5W，四年没提过,B-BANK I-BANK O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,0
大妈的邀请短信不靠谱，有推荐额度还差不多,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
我也出推荐额度了不过我觉得不靠谱，怕送人头,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,0
我也有推荐名额，但是觉得不靠谱，怕派人。,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,0
三天能进入真正的审核流程就不错了,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1
大概率共享，不建议申请，共享额度没啥意义i,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
需要PS直说，要啥时间就啥时间，技术还是不错的,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
网贷逾期过，这也能算良好？下5w不错了,B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
太亏了！如果没有这个，你征信挺好的,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,0
亏！如果你没有这个，你的信用信息还是挺好的。,B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0
总额度1万，有啥搞头,O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
开卡就这么搞不太好，有分期电话就看着分吧，可以讨价还价,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,0
好的，到时候去网点搞个把密码器取消不知道给不给办，好心累啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
建行下卡33k，不错吧,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
工行卡可以的，好养,B-BANK I-BANK B-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ O,1
没有，论坛错了。那些老板的帖子互相抄袭，甚至出错。,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,0
广州这边也是这样的，理财经理见不到100砖就跟你讲星星，要是看到有100砖了就像舔狗一样立马把你当大爷伺候...,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
广州这边也是这样的，理财经理见不到100砖就跟你讲星星，要是看到有100砖了就像舔狗一样立马把你当大爷伺候着！,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
深圳也是啊，开始说单六星就得了，后来填表要见到100砖，太坑了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
楼主有工商存款吗？直接申请的首卡？额度不错呀,O O O B-BANK I-BANK O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
利息那么低，牛皮,B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O O O,1
我准备组合贷的，好不容易才把所有需要的文件准备齐全，结果今天售楼部说银行那边公积金准入还没有办好，太坑了。公积金贷款有时效性，我都好几个月没敢使用信用卡了，都...,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,0
那我周六周日收的全都没到。。。坑啊,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,0
这么惨啊，我就是工行app给我推荐的，我才申请的这个，看着还好丑,O O B-COMMENTS_ADJ O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
花个鸡毛，他们银行查的话一看就明白了，我本来就三张卡显示十七个账户，没多大事,O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
我首卡都是6万??融E借额度11万??我想调平信用卡额度??去申请二卡故宫白金??额度才30000??搞笑呢,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
估计不影响，我去年办的工行房贷，办理之前首付还差点，就用了中信的新快现，分了12期，贷款也过了,O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O O O,1
还有我觉得苏州的银行都很多事，各种刁难外地人,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
达不到啊。所以一看到也吓一跳,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,0
楼主什么时候完成任务的？现在，我的到了。开心啊,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
兄弟你这是在跟人机聊天，你点它头像看看吧，它今天已经发了一百多条贴子出来了，还没算之前发的！你被坑了，哈哈哈,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O,0
尊享写成尊亨……不过疑惑的是为什么号码会是95588，可能是骗子,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
他马了个逼的，我征信应该没什么问题呀，没有逾期记录，也没多少负债啊？怎么审批不通过呢？,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
转账用。所以我觉得还是中行的最好，什么都不需要。APP也还行。,O O O O O O O O O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,1
民生是这样，给钱也不给办，要拿银行日均转账20万的流水才给办，别的行办也挺费劲,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,0
香白3136环球双M，结果今天去领卡，是国航白，无语！不知道是不是柜台人员操作失误了国航白有没有必要留？,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
我打电话投诉了。网点让我星期一去办，这浦发真的是非要投诉才可以,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O,0
一个月转转限额100万，去补个盾还没有，真是店大欺客，废了以后改用招商方便，服务也好,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-BANK I-BANK O O O O O O O,0
山东对征信查的很严，我的农行卡额度10万，审了很久,O O O B-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
建行有水，招商有水，农行有水，工商没水，冲！,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK O O O O O,1
邮政有水，恒丰有水，广发有水，冲！,B-BANK I-BANK O O O B-BANK I-BANK O O O B-BANK I-BANK O O O O O,1
哈哈哈，我的兴业随便一申请就是50K,O O O O O O B-BANK I-BANK O O O O O O O O O O,1
你卡到了吗，农业银行速度很慢啊,O B-PRODUCT O O O O B-BANK I-BANK I-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
悲剧了，优惠出来了，结果不支持信用卡支付:o,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O,0
相当靠谱，信用卡的羊毛薅起来,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,1
银行现在给我两条路，一条一次性还清，一条半年还清，13万，哪个我也做不到，现在还冻着我名下银行卡，生活都困难了...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
别用atm，真坑,O O O O O O O B-COMMENTS_ADJ,0
民生刚刚给我拒掉……,B-BANK I-BANK O O O O B-COMMENTS_ADJ O O O,0
我也是。就是这半个月的事。可有还有宁波上海渤海几家的分期，瑟瑟发抖。不知道老邮会不会也堕落。,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
楼主这战绩跟我一样惨烈，真的堆不动大妈的实体卡,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,0
问题，我一个准星级的人家给开吗？额度肯定很低吧,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,0
账户数多少其实无所谓：在银行版信报里面不起眼，也不构成小昭小贱等厌恶的多头授信,B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N,0
1号到现在都没更新，还没制卡，凉凉,O O O O O O O O O O O O O B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
运气真好，1999是银联的,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N O,1
